Symbol,Index,Industry,Sector,Country or region of registration,Description
BDX,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,"Becton, Dickinson and Company"
BE,"Russell 2000, Nasdaq US Mid Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",Electronic production equipment,Electronic technology,United States,Bloom Energy Corporation
BEDU,,Miscellaneous commercial services,Commercial services,China,Bright Scholar Education Holdings Ltd. Sponsored ADR  Class A
BEN,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment managers,Finance,United States,"Franklin Resources, Inc."
BEPC,"Russell 3000, Russell 1000",Electric utilities,Utilities,United States,Brookfield Renewable Corporation
BEPH,,Real estate development,Finance,Canada,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BF.A,"Russell 3000, Russell 1000",Beverages: alcoholic,Consumer non-durables,United States,Brown Forman Inc
BFAM,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United States,Bright Horizons Family Solutions Inc.
BFH,"Russell 2000, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,"Bread Financial Holdings, Inc."
BFK,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Municipal Income Trust
BFLY,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Medical specialties,Health technology,United States,"Butterfly Network, Inc."
BFS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Saul Centers, Inc."
BFZ,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock California Municipal Income Trust
BG,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Agricultural commodities/Milling,Process industries,United States,Bunge Limited
BGB,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackstone Strategic Credit 2027 Term Fund Shs of Benef Interest
BGH,,Investment trusts/Mutual funds,Miscellaneous,United States,Barings Global Short Duration High Yield Fund of Benef Interest
BGR,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Energy and Resources Trust
BGS,"Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ US Benchmark Food Producers",Food: major diversified,Consumer non-durables,United States,"B&G Foods, Inc."
BGSF,,Personnel services,Commercial services,United States,"BGSF, Inc."
BGT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Floating Rate Income Trust of Benef Interest
BGX,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackstone Long-Short Credit Income Fund Shs of Benef Interest
BGY,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Enhanced International Dividend Trust of Benef Interest
BH,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Restaurants,Consumer services,United States,Biglari Holdings Inc.
BHE,"Russell 2000, Russell 3000, Mini-Russell 2000",Electronic production equipment,Electronic technology,United States,"Benchmark Electronics, Inc."
BHK,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Core Bond Trust
BHR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Braemar Hotels & Resorts, Inc."
BHV,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Virginia Municipal Bond Trust
BHVN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Pharmaceuticals: major,Health technology,United States,Biohaven Ltd.
BILL,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, KBW NASDAQ Financial Technology Index",Packaged software,Technology services,United States,"BILL Holdings, Inc."
BIO,"S&P MidCap 400, Russell 3000, Russell 1000",Medical specialties,Health technology,United States,"Bio-Rad Laboratories, Inc."
BIP,,Alternative power generation,Utilities,Bermuda,Brookfield Infrastructure Partners LP Limited Partnership
BIPC,"Russell 2000, Russell 3000, Mini-Russell 2000",Gas distributors,Utilities,United States,Brookfield Infrastructure Corporation
BIPH,,Financial conglomerates,Finance,Canada,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081
BIPI,,Miscellaneous commercial services,Commercial services,Bermuda,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes
BIRK,"Russell 3000, Russell 1000",Apparel/Footwear,Consumer non-durables,United Kingdom,Birkenstock Holding plc
BIT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Multi-Sector Income Trust
BJ,"S&P MidCap 400, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,"BJ's Wholesale Club Holdings, Inc."
BK,"S&P 500, S&P 100, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment banks/Brokers,Finance,United States,The Bank of New York Mellon Corporation
BKD,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Hospital/Nursing management,Health services,United States,Brookdale Senior Living Inc.
BKE,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"Buckle, Inc. (The)"
BKH,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Gas distributors,Utilities,United States,Black Hills Corporation
BKKT,"Russell 2000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,"Bakkt Holdings, Inc."
BKN,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Investment Quality Municipal Trust Inc
BKSY,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Packaged software,Technology services,United States,BlackSky Technology Inc.
BKT,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Income Trust Inc
BKU,"Russell 2000, Russell 3000, Mini-Russell 2000",Major banks,Finance,United States,"BankUnited, Inc."
BKV,"Russell 2000, Mini-Russell 2000",Integrated oil,Energy minerals,United States,BKV Corporation
BLCO,,Medical specialties,Health technology,Canada,Bausch + Lomb Corporation
BLD,"S&P MidCap 400, Russell 3000, Russell 1000",Engineering & construction,Industrial services,United States,TopBuild Corp.
BLDR,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Home improvement chains,Retail trade,United States,"Builders FirstSource, Inc."
BLE,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Municipal Income Trust II
BLK,"S&P 500, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment managers,Finance,United States,"BlackRock, Inc."
BLND,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Blend Labs, Inc."
BLSH,,Packaged software,Technology services,Cayman Islands,Bullish
BLW,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Limited Duration Income Trust
BLX,"Russell 2000, Russell 3000, Mini-Russell 2000",Major banks,Finance,Panama,"Banco Latinoamericano de Comercio Exterior, S.A."
BME,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Health Sciences Trust
BMEZ,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Health Sciences Term Trust
BMI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial machinery,Producer manufacturing,United States,"Badger Meter, Inc."
BMN,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock 2037 Municipal Target Term Trust 2037 Municipal Target Term Trust
BMY,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: major,Health technology,United States,Bristol-Myers Squibb Company
BN,,Investment managers,Finance,Canada,Brookfield Corporation
BNED,"Russell 2000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Barnes & Noble Education, Inc"
BNH,,Finance/Rental/Leasing,Finance,Canada,"Brookfield Finance Inc. 4.625% Subordinated Notes due October 16, 2080"
BNJ,,Finance/Rental/Leasing,Finance,United Kingdom,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes
BNL,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Broadstone Net Lease, Inc."
BNY,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock New York Municipal Income Trust
BOC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Advertising/Marketing services,Commercial services,United States,Boston Omaha Corporation
BOE,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Enhanced Global Dividend Trust of Benef Interest
BOH,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Bank of Hawaii Corporation
BOOT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"Boot Barn Holdings, Inc."
BORR,"Russell 2000, Russell 3000, Mini-Russell 2000",Contract drilling,Industrial services,Bermuda,Borr Drilling Limited
BOW,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Multi-line insurance,Finance,United States,Bowhead Specialty Holdings Inc.
BOX,"Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,"Box, Inc."
BR,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Information technology services,Technology services,United States,"Broadridge Financial Solutions, Inc."
BRBR,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",Pharmaceuticals: other,Health technology,United States,"BellRing Brands, Inc."
BRC,,Miscellaneous manufacturing,Producer manufacturing,United States,Brady Corporation
BRCC,"Russell 2000, Russell 3000, Mini-Russell 2000",Food: specialty/candy,Consumer non-durables,United States,BRC Inc.
BRK.A,,Property/Casualty insurance,Finance,United States,Berkshire Hathaway Inc.
BRO,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000",Insurance brokers/Services,Finance,United States,"Brown & Brown, Inc."
BROS,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Restaurants,Consumer services,United States,Dutch Bros Inc.
BRSL,"Russell 2000, Russell 3000, Mini-Russell 2000",Casinos/Gaming,Consumer services,United Kingdom,"Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21, 2025."
BRSP,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,BrightSpire Capital Inc
BRT,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Real estate investment trusts,Finance,United States,BRT Apartments Corp
BRW,,Investment trusts/Mutual funds,Miscellaneous,United States,Saba Capital Income & Opportunities Fund
BRX,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,"Brixmor Property Group, Inc."
BSL,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackstone Senior Floating Rate 2027 Term Fund Shs of Benef Interest
BSM,,Investment trusts/Mutual funds,Miscellaneous,United States,"Black Stone Minerals, L.P."
BST,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Science & Technology Trust
BSTZ,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Science and Technology Term Trust of Benef Interest
BSX,"S&P 500, S&P 500 Health Care, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,Boston Scientific Corporation
BTA,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackrock Long-Term Municipal Advantage Trust
BTO,,Investment trusts/Mutual funds,Miscellaneous,United States,John Hancock Financial Opportunities Fund
BTT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Municipal 2030 Target Term Trust of Beneficial Interest
BTU,"Russell 2000, Russell 3000, Mini-Russell 2000",Coal,Energy minerals,United States,Peabody Energy Corporation
BTX,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Technology and Private Equity Term Trust
BTZ,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Credit Allocation Income Trust
BUI,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Utilities. Infrastructure & Power Opportunities Trust of Benef Interest
BURL,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Apparel/Footwear retail,Retail trade,United States,"Burlington Stores, Inc."
BV,"Russell 2000, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,"BrightView Holdings, Inc."
BW,,Electronic equipment/Instruments,Electronic technology,United States,"Babcock & Wilcox Enterprises, Inc."
BWA,"Russell 3000, Russell 1000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,BorgWarner Inc.
BWG,,Investment trusts/Mutual funds,Miscellaneous,United States,BrandywineGLOBAL Global Income Opportunities Fund Inc
BWMX,,Specialty stores,Retail trade,Mexico,"Betterware de Mexico, S.A.P.I. de C.V."
BWXT,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,"BWX Technologies, Inc."
BX,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000",Investment managers,Finance,United States,Blackstone Inc.
BXC,"Russell 2000, Russell 3000, Mini-Russell 2000",Wholesale distributors,Distribution services,United States,Bluelinx Holdings Inc.
BXMT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Blackstone Mortgage Trust, Inc. Class A"
BXMX,,Investment trusts/Mutual funds,Miscellaneous,United States,Nuveen S&P 500 Buy-Write Income Fund of Benef Interest
BXP,"S&P 500, S&P 500 Real Estate, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,BXP Inc
BXSL,,Investment trusts/Mutual funds,Miscellaneous,United States,Blackstone Secured Lending Fund
BY,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"Byline Bancorp, Inc."
BYD,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Casinos/Gaming,Consumer services,United States,Boyd Gaming Corporation
BYM,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Municipal Income Quality Trust
BZH,"Russell 2000, Russell 3000, Mini-Russell 2000",Homebuilding,Consumer durables,United States,"Beazer Homes USA, Inc."
C,"S&P 500, S&P 100, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Major banks,Finance,United States,"Citigroup, Inc."
C/PN,,Finance/Rental/Leasing,Finance,United States,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS)
CAAP,,Other transportation,Transportation,Luxembourg,Corporacion America Airports SA
CABO,"Russell 2000, Russell 3000, Mini-Russell 2000",Cable/Satellite TV,Consumer services,United States,"Cable One, Inc."
CACI,"S&P MidCap 400, Russell 3000, Russell 1000",Information technology services,Technology services,United States,"CACI International, Inc."
CADE,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Major banks,Finance,United States,Cadence Bank
CAF,,Investment trusts/Mutual funds,Miscellaneous,United States,Morgan Stanley China A Share Fund Inc
CAG,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Food: major diversified,Consumer non-durables,United States,"ConAgra Brands, Inc."
